PreCoordinated,Target Type,Major Category,Minor Category,Anatomic Group,N Characters,TG263-Primary Name,TG-263-Reverse Order Name,Description,FMAID,SNOMED-CT Code,SNOMEDCT Term,Qualifiers,Notes,Summary,,,,,,
,Anatomic,Bone,Marrow,Body,10,BoneMarrow,BoneMarrow,Bone Marrow,9608,14016003, |Bone marrow structure (body structure)|,,,,,,,,,
,Anatomic,Diaphragm,,Thorax,9,Diaphragm,Diaphragm,Diaphragm,13295,5798000,Diaphragm structure (body structure),,,,,,,,,
,Non-Anatomic,Body,,Body,5,Boost,Boost,Boost Volume,,,,,,,,,,,,
,Anatomic,Bowel,,Abdomen,5,Bowel,Bowel,,7199,113276009,Intestinal structure (body structure),,,,,,,,,
,Anatomic,Bowel,Large,Pelvis,11,Bowel_Large,Large_Bowel,Large Bowel,7201,14742008,Structure of large intestine (body structure),,,,,,,,,
,Anatomic,Bowel,,Abdomen,11,Bowel_Small,Small_Bowel,Small Bowel (small intestine),7200,30315005,Structure of small intestine (body structure),,,,,,,,,
x,Anatomic,Nerve,Brachial,Thorax,14,BrachialPlex_L,L_BrachialPlex,Brachial plexus Left,45245,36582005,Brachial plexus structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Brachial,Thorax,14,BrachialPlex_R,R_BrachialPlex,Brachial plexus Right,45244,36582005,Brachial plexus structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Brachial,Thorax,13,BrachialPlexs,BrachialPlexs,Brachial plexus,5906,36582005,Brachial plexus structure (body structure),,,,,,,,,
,Anatomic,Brain,Brain,Head and Neck,5,Brain,Brain,Brain,50801,12738006,Brain structure (body structure),,,,,,,,,
,Derived,Brain,Brain,Head and Neck,9,Brain-CTV,Brain-CTV,Brain minus the CTV,,,,,"From Mark: Brain minus <volume> is really interesting. It signals to me that the BodyStructure resource, should consist of a list of included and a list of excluded body structures (almost like an intensional value set).  Just a thought. I think the odds of this ever happening in core FHIR is ~nil.",,,,,,,
,Derived,Brain,Brain,Head and Neck,9,Brain-GTV,Brain-GTV,Brain minus the GTV,,,,,,,,,,,,
,Derived,Brain,Brain,Head and Neck,9,Brain-PTV,Brain-PTV,Brain minus the PTV,,,,,,,,,,,,
,Anatomic,Nerve,Brainstem,Head and Neck,9,Brainstem,Brainstem,Brain Stem,79876,15926001,Brainstem structure (body structure),,,,,,,,,
,Anatomic,Nerve,Brainstem,Head and Neck,14,Brainstem_Core,Core_Brainstem,Core of the brainstem,,15926001,Brainstem structure (body structure),Core,,,,,,,,
,PRV,Nerve,PRV,Head and Neck,13,Brainstem_PRV,PRV_Brainstem,PRV for the Brainstem,,,,,,,,,,,,
,PRV,Nerve,PRV,Head and Neck,15,Brainstem_PRVxx,PRVxx_Brainstem,PRV margin on the brain stem that is an xx millimeter expansion,,,,,,,,,,,,
,Anatomic,Nerve,Brainstem,Head and Neck,14,Brainstem_Surf,Surf_Brainstem,Surface of the brainstem,,15926001,Brainstem structure (body structure),Surface,,,,,,,,
x,Anatomic,Breast,,Thorax,8,Breast_L,L_Breast,Breast Left,321497,76752008,Breast structure (body structure),left,,,,,,,,
x,Anatomic,Breast,,Thorax,8,Breast_R,R_Breast,Breast Right,321496,76752008,Breast structure (body structure),right,,,,,,,,
x,Anatomic,Breast,,Thorax,7,Breasts,Breasts,Both breasts,268893,76752008,Breast structure (body structure),"left, right",,,,,,,,
,Anatomic,Lung,Bronchus,Thorax,8,Bronchus,Bronchus,Bronchial tree,26660,955009,Bronchial structure (body structure),,,,,,,,,
x,Anatomic,Lung,Bronchus,Thorax,10,Bronchus_L,L_Bronchus,Bronchial tree Left,26662,955009,Bronchial structure (body structure),left,,,,,,,,
,Anatomic,Lung,Bronchus,Thorax,13,Bronchus_Main,Main_Bronchus,Main Bronchus,7405,102297006,Main bronchus structure (body structure),,,,,,,,,
x,Anatomic,Lung,Bronchus,Thorax,15,Bronchus_Main_L,L_Main_Bronchus,Main Bronchus Left,7396,102297006,Main bronchus structure (body structure),,,,,,,,,
x,Anatomic,Lung,Bronchus,Thorax,15,Bronchus_Main_R,R_Main_Bronchus,Main Bronchus Right,7395,102297006,Main bronchus structure (body structure),,,,,,,,,
x,Anatomic,Lung,Bronchus,Thorax,14,Bronchus_PRVxx,PRVxx_Bronchus,A PRV expansion on the Bronchus that  is xx millimeters thick,,PRV,PRV,,,,,,,,,
x,Anatomic,Lung,Bronchus,Thorax,10,Bronchus_R,R_Bronchus,Bronchial tree Right,26661,955009,Bronchial structure (body structure),right,,,,,,,,
,Anatomic,Bowel,Anus,Pelvis,10,Canal_Anal,Anal_Canal,Anal Canal,15703,34381000,Anal canal structure (body structure) |,,,,,,,,,
,Anatomic,Carina,,Thorax,6,Carina,Carina,Carina,7465,28700002,Structure of carina of trachea (body structure),,,,,,,,,
,Anatomic,Gut,,Abdomen,8,Duodenum,Duodenum,Small bowel - Duodenum,7206,38848004,Duodenal structure (body structure),,,,,,,,,
,Anatomic,Nerve,CaudaEquina,Pelvis,11,CaudaEquina,CaudaEquina,Cauda equina,52590,7173007,Cauda equina structure (body structure),,,,,,,,,
,Anatomic,Reproductive,,Pelvis,10,Cavernosum,Cavernosum,Penis Corpus Cavernosum,75189,9284003,Corpus cavernosum structure (body structure),,,,,,,,,
,Anatomic,Nose,Nasal,Head and Neck,12,Cavity_Nasal,Nasal_Cavity,Nasal Cavity,54378,279549004,Nasal cavity structure (body structure),,,,,,,,,
,Anatomic,Mouth,Oral Cavity,Head and Neck,11,Cavity_Oral,Oral_Cavity,Oral cavity,20292,74262004,Oral cavity structure (body structure),,,,,,,,,
,Anatomic,Bowel,,Abdomen,5,Cecum,Cecum,Large bowel - Cecum,14541,32713005,Cecum structure (body structure),,,,,,,,,
,Anatomic,Brain,Cerebellum,Head and Neck,10,Cerebellum,Cerebellum,Cerebellum,67944,113305005,Cerebellar structure (body structure),,,,,,,,,
,Anatomic,Brain,Cerebrum,Head and Neck,8,Cerebrum,Cerebrum,Cerebrum,62000,83678007,Structure of cerebrum (body structure),,,,,,,,,
x,Anatomic,Brain,Cerebrum,Head and Neck,10,Cerebrum_L,L_Cerebrum,,61819,83678007,Structure of cerebrum (body structure),left,,,,,,,,
x,Anatomic,Brain,Cerebrum,Head and Neck,10,Cerebrum_R,R_Cerebrum,,67292,83678007,Structure of cerebrum (body structure),right,,,,,,,,
,Anatomic,Cervix,,Pelvis,6,Cervix,Cervix,Cervix of uterus,17740,71252005,Cervix uteri structure (body structure),,,,,,,,,
,Anatomic,Chest wall,,Thorax,9,Chestwall,Chestwall,Chest wall,50060,78904004,Chest wall structure (body structure),,,,,,,,,
x,Anatomic,Chest wall,,Thorax,11,Chestwall_L,L_Chestwall,Left Chest Wall,25559,78904004,Chest wall structure (body structure),left,,,,,,,,
x,Anatomic,Chest wall,,Thorax,11,Chestwall_R,R_Chestwall,Right Chest Wall,25558,78904004,Chest wall structure (body structure),right,,,,,,,,
,Anatomic,Brain,,Head and Neck,12,Cist_Pontine,Pontine_Cist,Pontine Cistern,83719,369387006,Structure of cisterna pontis (body structure),,,,,,,,,
,Anatomic,Esophagus,,Thorax,11,Esophagus_S,S_Esophagus,Upper Esophagus (cervical),,60075002,Cervical esophagus structure (body structure),,,,,,,,,
x,Anatomic,Bone,Clavicle,Thorax,10,Clavicle_L,L_Clavicle,Clavicle Left,13323,51299004,Bone structure of clavicle (body structure),left,,,,,,,,
x,Anatomic,Bone,Clavicle,Thorax,10,Clavicle_R,R_Clavicle,Clavicle Right,13322,51299004,Bone structure of clavicle (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,6,CN_III,III_CN,Third Cranial Nerve (Oculomotor nerve),50864,56193007,Oculomotor nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,8,CN_III_L,L_III_CN,Third Cranial Nerve (Oculomotor nerve) Left,50880,56193007,Oculomotor nerve structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,8,CN_III_R,R_III_CN,Third Cranial Nerve (Oculomotor nerve) Right,50879,56193007,Oculomotor nerve structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,5,CN_IX,IX_CN,Ninth Cranial Nerve (Glossopharyngeal nerve) ,50870,21161002,Glossopharyngeal nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,7,CN_IX_L,L_IX_CN,Ninth Cranial Nerve (Glossopharyngeal nerve) Left,50892,21161002,Glossopharyngeal nerve structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,7,CN_IX_R,R_IX_CN,Ninth Cranial Nerve (Glossopharyngeal nerve) Right,50870,21161002,Glossopharyngeal nerve structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,4,CN_V,V_CN,Fifth Cranial Nerve (Trigeminal nerve),50866,27612005,Trigeminal nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,6,CN_V_L,L_V_CN,Fifth Cranial Nerve (Trigeminal nerve) Left,50885,27612005,Trigeminal nerve structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,6,CN_V_R,R_V_CN,Fifth Cranial Nerve (Trigeminal nerve) Right,50884,27612005,Trigeminal nerve structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,5,CN_VI,VI_CN,Sixth Cranial Nerve (Abducens nerve),50867,80622005,Abducens nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,7,CN_VI_L,L_VI_CN,Sixth Cranial Nerve (Abducens nerve) Left,50887,80622005,Abducens nerve structure (body structure),left,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,7,CN_VI_R,R_VI_CN,Sixth Cranial Nerve (Abducens nerve) Right,50886,80622005,Abducens nerve structure (body structure),right,,,,,,,,
,Anatomic,Nerve,Cranial,Head and Neck,6,CN_VII,VII_CN,Seventh Cranial Nerve (Facial),50868,56052001,Facial nerve structure (body structure),,,,,,,,,
x,Anatomic,Nerve,Cranial,Head and Neck,8,CN_VII_L,L_VII_CN,Seventh Cranial Nerve (Facial) Left,50889,56052001,Facial nerve structure (body structure),left,,,,,,,,
